2025-06-08 19:44:29,378 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:46:54,305 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:46:54,319 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:46:54,319 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:46:54,412 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:46:54,414 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:47:45,571 | INFO     | darts.models.forecasting.forecasting_model | Chosen parameters: {'lags': 24, 'lags_past_covariates': None, 'lags_future_covariates': [0], 'output_chunk_length': 3, 'n_estimators': 50, 'max_depth': 10, 'random_state': 42}
2025-06-08 19:47:45,578 | INFO     | src.experiments | [no_weather] Fitting model
2025-06-08 19:47:54,635 | INFO     | src.experiments | [no_weather] Making predictions
2025-06-08 19:47:54,636 | INFO     | src.experiments | [no_weather] Direct predict
2025-06-08 19:47:54,636 | ERROR    | darts.models.forecasting.regression_model | ValueError: The `future_covariates` are not long enough. Given horizon `n=3947`, `min(lags_future_covariates)=0`, `max(lags_future_covariates)=0` and `output_chunk_length=3`, the `future_covariates` have to range from 2024-02-07 04:00:00 until 2024-07-20 12:00:00 (inclusive), but they only range from 2024-07-20 13:00:00 until 2024-12-31 23:00:00.
2025-06-08 22:54:46,772 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 22:54:46,785 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 22:54:46,785 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 22:54:46,867 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 22:55:34,703 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 22:55:34,716 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 22:55:34,716 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 22:55:34,788 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 22:55:34,791 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 22:56:11,326 | INFO     | darts.models.forecasting.forecasting_model | Chosen parameters: {'lags': 24, 'lags_past_covariates': None, 'lags_future_covariates': [0], 'output_chunk_length': 3, 'n_estimators': 50, 'max_depth': 10, 'random_state': 42}
2025-06-08 22:56:11,329 | INFO     | src.experiments | [no_weather] Fitting model
2025-06-08 22:56:18,289 | INFO     | src.experiments | [no_weather] Making predictions
2025-06-08 22:56:18,289 | INFO     | src.experiments | [no_weather] Direct predict
2025-06-08 22:56:18,289 | ERROR    | darts.models.forecasting.regression_model | ValueError: The `future_covariates` are not long enough. Given horizon `n=3947`, `min(lags_future_covariates)=0`, `max(lags_future_covariates)=0` and `output_chunk_length=3`, the `future_covariates` have to range from 2024-02-07 04:00:00 until 2024-07-20 12:00:00 (inclusive), but they only range from 2024-07-20 13:00:00 until 2024-12-31 23:00:00.
2025-06-08 23:01:59,874 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 23:01:59,887 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 23:01:59,887 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 23:01:59,959 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 23:01:59,960 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 23:02:36,306 | INFO     | darts.models.forecasting.forecasting_model | Chosen parameters: {'lags': 24, 'lags_past_covariates': None, 'lags_future_covariates': [0], 'output_chunk_length': 3, 'n_estimators': 50, 'max_depth': 10, 'random_state': 42}
2025-06-08 23:02:36,309 | INFO     | src.experiments | [no_weather] Fitting model
2025-06-08 23:03:20,317 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 23:03:20,332 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 23:03:20,333 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 23:03:20,403 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 23:03:20,405 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 23:03:57,811 | INFO     | darts.models.forecasting.forecasting_model | Chosen parameters: {'lags': 24, 'lags_past_covariates': None, 'lags_future_covariates': [0], 'output_chunk_length': 3, 'n_estimators': 50, 'max_depth': 10, 'random_state': 42}
2025-06-08 23:03:57,814 | INFO     | src.experiments | [no_weather] Fitting model
2025-06-08 23:04:06,245 | INFO     | src.experiments | [no_weather] Making predictions
2025-06-08 23:04:06,245 | INFO     | src.experiments | [no_weather] Direct predict
2025-06-08 23:04:06,832 | INFO     | src.experiments | [no_weather] Metrics: MAE=670.0801, MSE=1797360.3506
2025-06-08 23:04:06,842 | INFO     | src.experiments | [no_weather] Experiment finished
2025-06-08 23:04:06,843 | INFO     | run_experiments | === Finished experiment: no_weather ===

2025-06-08 23:04:06,843 | INFO     | run_experiments | === Begin experiment: full_weather ===
2025-06-08 23:04:06,843 | INFO     | src.experiments | [full_weather] Start experiment
2025-06-08 23:04:06,905 | INFO     | src.experiments | [full_weather] Using past covariates: ['station_pressure', 'sea_level_pressure', 'temperature', 'dew_point_temperature', 'relative_humidity', 'vapor_pressure', 'avg_wind_speed', 'avg_wind_direction', 'precipitation', 'precipitation_hours', 'sunshine_hours', 'pressure_trend', 'solar_radiation', 'saturation_vapor_pressure', 'uv_index']
2025-06-08 23:04:06,914 | INFO     | src.experiments | [full_weather] Running GridSearch
2025-06-08 23:08:42,963 | INFO     | darts.models.forecasting.forecasting_model | Chosen parameters: {'lags': 24, 'lags_past_covariates': 24, 'lags_future_covariates': [0], 'output_chunk_length': 3, 'n_estimators': 50, 'max_depth': 10, 'random_state': 42}
2025-06-08 23:08:42,965 | INFO     | src.experiments | [full_weather] Fitting model
2025-06-08 23:09:59,107 | INFO     | src.experiments | [full_weather] Making predictions
2025-06-08 23:09:59,107 | INFO     | src.experiments | [full_weather] Direct predict
2025-06-08 23:09:59,107 | WARNING  | darts.models.forecasting.forecasting_model | `predict()` was called with `n > output_chunk_length`: using auto-regression to forecast the values after `output_chunk_length` points. The model will access `(n - output_chunk_length)` future values of your `past_covariates` (relative to the first predicted time step). To hide this warning, set `show_warnings=False`.
